2025-11-16 19:10:29 | INFO     | main.py:45 | === Запуск CS2 Guide Hub v7.21 (Firebase Sync) ===
2025-11-16 19:10:29 | INFO     | firebase_service.py:35 | Firebase успешно инициализирован.
2025-11-16 19:13:29 | INFO     | config.py:42 | Система логирования инициализирована.
2025-11-16 19:13:30 | INFO     | main.py:45 | === Запуск CS2 Guide Hub v7.21 (Firebase Sync) ===
2025-11-16 19:13:30 | INFO     | firebase_service.py:35 | Firebase успешно инициализирован.
2025-11-16 19:13:51 | INFO     | main_window.py:890 | Пользователь ADMIN вышел из системы.
2025-11-16 19:13:56 | INFO     | config.py:42 | Система логирования инициализирована.
2025-11-16 19:13:57 | INFO     | main.py:45 | === Запуск CS2 Guide Hub v7.21 (Firebase Sync) ===
2025-11-16 19:13:57 | INFO     | firebase_service.py:35 | Firebase успешно инициализирован.
2025-11-16 19:14:03 | INFO     | main_window.py:890 | Пользователь ADMIN вышел из системы.
2025-11-16 19:14:06 | INFO     | config.py:42 | Система логирования инициализирована.
2025-11-16 19:14:07 | INFO     | main.py:45 | === Запуск CS2 Guide Hub v7.21 (Firebase Sync) ===
2025-11-16 19:14:07 | INFO     | firebase_service.py:35 | Firebase успешно инициализирован.
2025-11-16 19:14:34 | INFO     | config.py:42 | Система логирования инициализирована.
2025-11-16 19:14:34 | INFO     | main.py:45 | === Запуск CS2 Guide Hub v7.21 (Firebase Sync) ===
2025-11-16 19:14:34 | INFO     | firebase_service.py:35 | Firebase успешно инициализирован.
2025-11-16 19:17:28 | INFO     | config.py:42 | Система логирования инициализирована.
2025-11-16 19:17:28 | INFO     | main.py:45 | === Запуск CS2 Guide Hub v7.21 (Firebase Sync) ===
2025-11-16 19:17:28 | INFO     | firebase_service.py:35 | Firebase успешно инициализирован.
2025-11-16 19:17:45 | INFO     | main_window.py:887 | Пользователь SP1Z1C1 вышел из системы.
2025-11-16 19:17:49 | INFO     | config.py:42 | Система логирования инициализирована.
2025-11-16 19:17:49 | INFO     | main.py:45 | === Запуск CS2 Guide Hub v7.21 (Firebase Sync) ===
2025-11-16 19:17:49 | INFO     | firebase_service.py:35 | Firebase успешно инициализирован.
2025-11-16 19:17:57 | INFO     | admin_dialogs.py:192 | Загружено 11 пользователей для управления.
2025-11-16 19:18:41 | INFO     | admin_dialogs.py:192 | Загружено 11 пользователей для управления.
2025-11-16 19:18:49 | INFO     | admin_dialogs.py:209 | Роль пользователя 123 изменена: user -> reader
2025-11-16 19:18:49 | INFO     | admin_dialogs.py:209 | Роль пользователя 1231 изменена: user -> reader
2025-11-16 19:18:49 | INFO     | admin_dialogs.py:209 | Роль пользователя d4nyzz изменена: user -> reader
2025-11-16 19:18:49 | INFO     | admin_dialogs.py:209 | Роль пользователя d4nyzz1 изменена: user -> reader
2025-11-16 19:18:49 | INFO     | admin_dialogs.py:209 | Роль пользователя sad изменена: user -> reader
2025-11-16 19:18:49 | INFO     | admin_dialogs.py:209 | Роль пользователя sp1z1c1 изменена: user -> reader
2025-11-16 19:18:50 | INFO     | admin_dialogs.py:209 | Роль пользователя фывфыв изменена: user -> reader
2025-11-16 19:18:50 | INFO     | admin_dialogs.py:209 | Роль пользователя ячс изменена: user -> reader
2025-11-16 19:18:51 | INFO     | admin_dialogs.py:192 | Загружено 11 пользователей для управления.
2025-11-16 19:18:55 | INFO     | main_window.py:887 | Пользователь ADMIN вышел из системы.
2025-11-16 19:19:00 | INFO     | config.py:42 | Система логирования инициализирована.
2025-11-16 19:19:01 | INFO     | main.py:45 | === Запуск CS2 Guide Hub v7.21 (Firebase Sync) ===
2025-11-16 19:19:01 | INFO     | firebase_service.py:35 | Firebase успешно инициализирован.
2025-11-16 19:19:10 | INFO     | main_window.py:887 | Пользователь ADMIN вышел из системы.
2025-11-16 19:19:15 | INFO     | config.py:42 | Система логирования инициализирована.
2025-11-16 19:19:16 | INFO     | main.py:45 | === Запуск CS2 Guide Hub v7.21 (Firebase Sync) ===
2025-11-16 19:19:16 | INFO     | firebase_service.py:35 | Firebase успешно инициализирован.
2025-11-16 19:20:09 | INFO     | config.py:42 | Система логирования инициализирована.
2025-11-16 19:20:11 | INFO     | main.py:45 | === Запуск CS2 Guide Hub v7.21 (Firebase Sync) ===
2025-11-16 19:20:11 | INFO     | firebase_service.py:35 | Firebase успешно инициализирован.
2025-11-16 19:20:23 | INFO     | main_window.py:890 | Пользователь READER вышел из системы.
2025-11-16 19:21:28 | INFO     | config.py:42 | Система логирования инициализирована.
2025-11-16 19:21:28 | INFO     | main.py:45 | === Запуск CS2 Guide Hub v7.21 (Firebase Sync) ===
2025-11-16 19:21:28 | INFO     | firebase_service.py:35 | Firebase успешно инициализирован.
2025-11-16 19:23:17 | INFO     | main_window.py:896 | Пользователь READER вышел из системы.
2025-11-16 19:23:56 | INFO     | config.py:42 | Система логирования инициализирована.
2025-11-16 19:23:57 | INFO     | main.py:45 | === Запуск CS2 Guide Hub v7.21 (Firebase Sync) ===
2025-11-16 19:23:57 | INFO     | firebase_service.py:35 | Firebase успешно инициализирован.
2025-11-16 19:24:40 | INFO     | config.py:42 | Система логирования инициализирована.
